Block Height|Block Reward
15569920|0.055368004419117255
15569925|0.045561227972272844
15569930|0.112081585696023959
15569935|0.050797475794747317
15569940|0.013897038287707352
15569945|0.074304714037538626
15569950|0.031090050907288916
15569955|0.030801062878218154
15569960|0.026549064502314335
15569965|0.854707824386709816
15569970|0.049672794970388446
15569975|0.07311459490412547
15569980|0.103063920173638439
15569985|0.006043569797669694
15569990|0.11378015638802439
15569995|0.056511466184920802
15570000|0.281565390551834214
15570005|0.194840749698661284
15570010|0.010371218448452189
15570015|0.066280908326459791
15570020|0.014292854326797034
15570025|0.030846967690222847
15570030|0.058710905102708805
15570035|0.174435211979494326
15570040|0.032268214281065289
15570045|0.00601220606545272
15570050|0.009103102822746506
15570055|0.042400035436028553
15570060|0.055010747828282749
15570065|0.046573061466172831
15570070|0.003810810351535
15570075|0.033800029896522762
15570080|0.030135877870340138
15570085|0.04598168742298959
15570090|0.048259756393272197
15570095|0.038716506997685528
15570100|0.033663163365134089
15570105|0.031484306696961155
15570110|0.004384018089486027
15570115|0.04049927013316986
15570120|0.062404901620968505
15570125|0.034295548166434396
15570130|0.238695513009574526
15570135|0.022800560706775433
15570140|0.0468493567589811
15570145|0.049196453356683415
15570150|0.042085631029236243
15570155|0.0466330806769328
15570160|0.269547819716039362
15570165|0.08656689883015762
15570170|0.031042867421271281
15570175|0.135873693418868541
15570180|0.013163605176198559
15570185|0.016839723952357241
15570190|1.482662189934227478
15570195|0.0315986524800754
15570200|3.262563645654507698
15570205|0.142746767834192244
15570210|0.225257193361253832
15570215|0.26759695631924598
15570220|0.005376962800951269
15570225|0.239261099224939716
15570230|1.03230796475499402
15570235|0.047591061661255334
15570240|0.07791074353662481
15570245|0.064418036653864078
15570250|0.115483321885803021
15570255|0.024377420559978521
15570260|0.076017227328848569
15570265|0.033802084001795076
15570270|0.03173463825787971
15570275|0.073366873838867282
15570280|0.177472491079998736
15570285|0.036042490360412717
15570290|0.068668730327589798
15570295|0.007077806083067777
15570300|0.017728693438406471
15570305|0.038377859601872194
15570310|0.001552700222652
15570315|0.584635773811761648
15570320|0.087986972130766291
15570325|0.028382778110326214
15570330|0.014514300587308993
15570335|0.164134030793549985
15570340|0.012456261832737844
15570345|0.039325030967580005
15570350|0.0037359051484457
15570355|0.104643893554254841
15570360|0.015112433927320436
15570365|0.06886432439279848
15570370|0.022895526126483972
15570375|0.087328377330414629
15570380|0.059345874964417237
15570385|0.004876610051924558
15570390|0.008837460210873684
15570395|0.077552415024457583
15570400|0.042937521163851131
15570405|0.130657037287821025
15570410|0.57991629992438665
15570415|0.138981749031605794
15570420|0.034351333260007911
15570425|0.002169461045375351
15570430|0.064156346992379533
15570435|0.123017489917252489
15570440|0.079712834474479827
15570445|0.071261757818761029
15570450|0.001229176158445541
15570455|0.00611593332206481
15570460|0.043155800743205467
15570465|0.029304065211188398
15570470|0.051678314748994356
15570475|0.047581935349556079
15570480|0.064959490940267557
15570485|0.0312210377755798
15570490|0.062155161354079007
15570495|0.005659085925539328
15570500|0.013701275773790945
15570505|0.00243347057805254
15570510|0.168913765638658959
15570515|0.070405423830625697
15570520|0.072592169248616709
15570525|0.013950736923096087
15570530|0.014594758996576248
15570535|0.017503061691794658
15570540|0.012698027658952927
15570545|0.032052355664147857
15570550|0.054820615027509615
15570555|0.004826830273172882
15570560|0.031025358902557049
15570565|0.019854559000298468
15570570|0.012470133117488672
15570575|0.034479671312493551
15570580|0.01999523612326785
15570585|0.060824652059557908
15570590|0.016363995204244322
15570595|0.011862477595920248
15570600|0.021921223579335573
15570605|0.135791437710677056
15570610|0.116439102372316649
