Block Height|Total Difficulty
615625|3,600,465,622,877,609,103
618750|3,624,762,601,582,513,345
621875|3,649,047,986,150,709,922
625000|3,673,661,043,127,240,885
628125|3,698,262,018,952,290,289
631250|3,722,832,629,798,827,692
634375|3,746,798,034,259,008,747
637500|3,770,290,850,219,501,749
640625|3,794,578,806,934,335,073
643750|3,819,782,654,440,443,188
646875|3,845,251,930,446,598,840
650000|3,870,026,150,147,670,182
653125|3,894,427,161,011,149,814
656250|3,918,219,098,607,292,595
659375|3,942,233,390,084,271,951
662500|3,965,319,274,843,768,189
665625|3,988,299,019,088,179,178
668750|4,011,723,144,163,477,072
671875|4,036,147,561,397,212,540
675000|4,061,056,815,460,309,931
678125|4,086,430,701,063,890,874
681250|4,111,424,200,938,317,481
684375|4,137,108,206,516,337,094
687500|4,163,830,068,604,052,129
690625|4,190,806,437,703,316,652
693750|4,217,518,265,222,732,335
696875|4,244,945,978,123,485,994
700000|4,272,131,515,090,694,300
703125|4,298,785,207,940,374,996
706250|4,325,925,352,746,667,457
709375|4,353,513,236,970,934,093
712500|4,380,889,319,046,307,342
715625|4,408,314,739,514,542,816
718750|4,435,385,950,150,412,831
721875|4,461,957,754,998,068,413
725000|4,488,691,104,383,689,629
728125|4,515,246,754,340,575,247
731250|4,542,690,046,628,597,791
734375|4,569,722,258,023,993,771
737500|4,596,286,656,913,672,878
740625|4,622,849,156,910,091,880
743750|4,649,852,370,874,335,237
746875|4,676,587,368,943,285,071
750000|4,703,008,787,803,328,484
753125|4,729,444,467,355,167,244
756250|4,756,177,138,338,947,409
759375|4,782,929,200,388,215,520
762500|4,809,541,932,525,174,590
765625|4,836,635,252,539,632,954
768750|4,863,405,210,115,225,397
771875|4,889,737,368,366,323,024
775000|4,916,500,466,874,143,250
778125|4,943,197,068,925,887,541
781250|4,970,011,473,701,413,915
784375|4,996,290,876,574,474,088
787500|5,021,613,784,537,827,026
790625|5,047,500,973,507,477,750
793750|5,073,473,635,071,334,471
796875|5,099,638,630,193,383,584
800000|5,125,467,158,716,548,443
803125|5,151,361,021,826,034,510
806250|5,177,321,877,877,389,169
809375|5,204,084,980,083,417,788
812500|5,229,695,117,128,613,563
815625|5,255,041,860,919,225,605
818750|5,281,315,388,860,136,168
821875|5,307,567,076,720,161,519
825000|5,334,031,504,996,859,798
828125|5,359,914,069,812,109,328
831250|5,386,535,273,832,306,409
834375|5,414,615,775,049,087,018
837500|5,442,560,140,321,783,949
840625|5,469,854,530,459,038,591
843750|5,496,108,893,419,315,604
846875|5,522,889,112,331,933,512
850000|5,550,755,507,590,073,811
853125|5,578,611,498,249,501,172
856250|5,607,288,956,885,774,776
859375|5,636,120,340,466,127,336
862500|5,664,392,993,527,201,779
865625|5,692,834,616,333,075,335
868750|5,722,483,925,456,707,181
871875|5,752,626,508,607,531,656
875000|5,782,289,021,051,148,691
878125|5,811,703,660,470,301,230
881250|5,841,367,791,193,514,712
884375|5,871,370,065,290,799,892
887500|5,901,915,458,679,732,771
890625|5,933,279,551,597,464,883
893750|5,964,919,857,523,720,783
896875|5,995,897,451,365,668,829
900000|6,028,218,451,267,046,594
903125|6,060,510,992,722,226,998
906250|6,092,594,634,719,105,604
909375|6,126,190,341,146,066,676
912500|6,160,273,186,102,981,534
915625|6,193,645,713,403,928,834
918750|6,226,027,716,429,111,563
921875|6,259,445,727,381,379,266
925000|6,293,748,565,072,169,918
928125|6,327,680,435,597,178,200
931250|6,361,524,333,133,354,081
934375|6,394,878,139,516,149,338
937500|6,428,699,407,719,695,918
940625|6,463,046,629,847,163,331
943750|6,496,423,610,742,986,383
946875|6,529,220,913,639,779,037
950000|6,563,935,210,445,560,396
953125|6,598,343,777,304,399,419
956250|6,633,632,377,592,757,961
959375|6,668,348,892,568,105,917
962500|6,702,652,998,444,297,710
965625|6,736,470,872,734,112,176
968750|6,770,785,707,446,266,854
971875|6,806,624,697,908,222,983
975000|6,842,653,219,010,128,892
978125|6,877,625,877,793,450,614
981250|6,913,139,539,268,780,054
984375|6,949,732,640,464,974,872
987500|6,986,901,173,164,029,464
990625|7,024,385,952,898,753,733
993750|7,060,167,259,229,871,842
996875|7,097,286,072,153,997,852
1000000|7,135,202,464,334,937,706
1003125|7,174,129,506,766,204,280
1006250|7,213,518,352,105,958,528
1009375|7,253,812,358,886,814,693
1012500|7,293,745,977,967,386,316
1015625|7,333,432,492,383,211,613
1018750|7,373,416,212,109,343,077
1021875|7,412,194,825,565,328,696
1025000|7,450,066,174,014,118,556
1028125|7,489,183,066,975,765,856
1031250|7,529,152,879,352,149,074
1034375|7,569,359,773,989,437,717
1037500|7,609,292,426,538,800,788
1040625|7,650,295,464,804,946,519
1043750|7,692,156,556,909,650,570
1046875|7,735,067,240,418,374,306
1050000|7,777,997,663,211,989,819
1053125|7,820,559,350,045,803,396
1056250|7,863,142,829,774,482,248
1059375|7,905,441,439,231,775,305
1062500|7,948,126,128,796,881,042
1065625|7,992,892,327,006,948,310
1068750|8,038,354,243,781,548,245
1071875|8,084,114,548,906,601,357
1075000|8,130,064,982,045,181,794
1078125|8,176,778,780,880,513,427
1081250|8,222,747,046,019,756,560
1084375|8,267,811,565,107,769,349
1087500|8,314,116,750,083,806,542
1090625|8,361,421,507,119,843,684
1093750|8,409,833,385,249,860,250
1096875|8,459,714,375,816,284,626
1100000|8,510,138,483,643,803,369
1103125|8,560,505,472,740,251,320
1106250|8,613,404,999,900,239,196
1109375|8,667,539,744,119,452,213
1112500|8,720,807,528,154,384,482
1115625|8,775,164,423,342,672,615
1118750|8,829,690,990,427,301,002
1121875|8,884,656,496,807,200,569
1125000|8,940,872,564,078,422,429
1128125|8,996,687,691,772,017,001
1131250|9,053,690,878,991,645,021
1134375|9,111,842,168,844,792,127
1137500|9,171,851,122,213,913,544
1140625|9,233,413,344,993,573,211
1143750|9,295,196,392,437,085,854
1146875|9,359,616,051,742,634,465
1150000|9,422,705,021,808,135,124
