Block Height|Mined by
54|0x48CD680bb700F6b7DE89Dd9FF4932CcC158c3e05 
56|0x2F85B3bF062769b2A2672200aFb21e3F4067a86d 
58|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
60|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
62|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
64|0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C 
66|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
68|0xacc8dECDFDCbed202B8632947c60487494F5D2c7 
70|0x0193d941b50d91BE6567c7eE1C0Fe7AF498b4137 
72|0x28921e4e2C9d84F4c0f0C0cEb991f45751a0fe93 
74|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
76|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
78|0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C 
80|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
82|0x20c6Efe179C293690A5B3375F5bd81c2f07Ed037 
84|0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C 
86|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
88|0x28921e4e2C9d84F4c0f0C0cEb991f45751a0fe93 
90|0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C 
92|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
94|0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C 
96|0x1B7047b4338ACf65bE94C1A3e8c5c9338ad7d67C 
98|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
